Sdate,Cosit,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flag Text
01/12/2024 00:00,80474,60,1,Eastbound,1,East,0,Checked
01/12/2024 00:00,80474,60,2,Westbound,2,West,0,Checked
01/12/2024 01:00,80474,60,1,Eastbound,1,East,1,Checked
01/12/2024 01:00,80474,60,2,Westbound,2,West,0,Checked
01/12/2024 02:00,80474,60,1,Eastbound,1,East,1,Checked
01/12/2024 02:00,80474,60,2,Westbound,2,West,0,Checked
01/12/2024 03:00,80474,60,1,Eastbound,1,East,0,Checked
01/12/2024 03:00,80474,60,2,Westbound,2,West,0,Checked
01/12/2024 04:00,80474,60,1,Eastbound,1,East,0,Checked
01/12/2024 04:00,80474,60,2,Westbound,2,West,0,Checked
01/12/2024 05:00,80474,60,1,Eastbound,1,East,0,Checked
01/12/2024 05:00,80474,60,2,Westbound,2,West,0,Checked
01/12/2024 06:00,80474,60,1,Eastbound,1,East,0,Checked
01/12/2024 06:00,80474,60,2,Westbound,2,West,0,Checked
01/12/2024 07:00,80474,60,1,Eastbound,1,East,0,Checked
01/12/2024 07:00,80474,60,2,Westbound,2,West,0,Checked
01/12/2024 08:00,80474,60,1,Eastbound,1,East,1,Checked
01/12/2024 08:00,80474,60,2,Westbound,2,West,0,Checked
01/12/2024 09:00,80474,60,1,Eastbound,1,East,2,Checked
01/12/2024 09:00,80474,60,2,Westbound,2,West,0,Checked
01/12/2024 10:00,80474,60,1,Eastbound,1,East,1,Checked
01/12/2024 10:00,80474,60,2,Westbound,2,West,1,Checked
01/12/2024 11:00,80474,60,1,Eastbound,1,East,0,Checked
01/12/2024 11:00,80474,60,2,Westbound,2,West,0,Checked
01/12/2024 12:00,80474,60,1,Eastbound,1,East,2,Checked
01/12/2024 12:00,80474,60,2,Westbound,2,West,0,Checked
01/12/2024 13:00,80474,60,1,Eastbound,1,East,1,Checked
01/12/2024 13:00,80474,60,2,Westbound,2,West,0,Checked
01/12/2024 14:00,80474,60,1,Eastbound,1,East,1,Checked
01/12/2024 14:00,80474,60,2,Westbound,2,West,0,Checked
01/12/2024 15:00,80474,60,1,Eastbound,1,East,1,Checked
01/12/2024 15:00,80474,60,2,Westbound,2,West,1,Checked
01/12/2024 16:00,80474,60,1,Eastbound,1,East,4,Checked
01/12/2024 16:00,80474,60,2,Westbound,2,West,0,Checked
01/12/2024 17:00,80474,60,1,Eastbound,1,East,1,Checked
01/12/2024 17:00,80474,60,2,Westbound,2,West,0,Checked
01/12/2024 18:00,80474,60,1,Eastbound,1,East,2,Checked
01/12/2024 18:00,80474,60,2,Westbound,2,West,0,Checked
01/12/2024 19:00,80474,60,1,Eastbound,1,East,0,Checked
01/12/2024 19:00,80474,60,2,Westbound,2,West,0,Checked
01/12/2024 20:00,80474,60,1,Eastbound,1,East,1,Checked
01/12/2024 20:00,80474,60,2,Westbound,2,West,0,Checked
01/12/2024 21:00,80474,60,1,Eastbound,1,East,1,Checked
01/12/2024 21:00,80474,60,2,Westbound,2,West,0,Checked
01/12/2024 22:00,80474,60,1,Eastbound,1,East,0,Checked
01/12/2024 22:00,80474,60,2,Westbound,2,West,1,Checked
01/12/2024 23:00,80474,60,1,Eastbound,1,East,1,Checked
01/12/2024 23:00,80474,60,2,Westbound,2,West,0,Checked
02/12/2024 00:00,80474,60,1,Eastbound,1,East,1,Checked
02/12/2024 00:00,80474,60,2,Westbound,2,West,0,Checked
02/12/2024 01:00,80474,60,1,Eastbound,1,East,0,Checked
02/12/2024 01:00,80474,60,2,Westbound,2,West,0,Checked
02/12/2024 02:00,80474,60,1,Eastbound,1,East,0,Checked
02/12/2024 02:00,80474,60,2,Westbound,2,West,0,Checked
02/12/2024 03:00,80474,60,1,Eastbound,1,East,1,Checked
02/12/2024 03:00,80474,60,2,Westbound,2,West,1,Checked
02/12/2024 04:00,80474,60,1,Eastbound,1,East,2,Checked
02/12/2024 04:00,80474,60,2,Westbound,2,West,1,Checked
02/12/2024 05:00,80474,60,1,Eastbound,1,East,4,Checked
02/12/2024 05:00,80474,60,2,Westbound,2,West,2,Checked
02/12/2024 06:00,80474,60,1,Eastbound,1,East,6,Checked
02/12/2024 06:00,80474,60,2,Westbound,2,West,0,Checked
02/12/2024 07:00,80474,60,1,Eastbound,1,East,9,Checked
02/12/2024 07:00,80474,60,2,Westbound,2,West,2,Checked
02/12/2024 08:00,80474,60,1,Eastbound,1,East,6,Checked
02/12/2024 08:00,80474,60,2,Westbound,2,West,0,Checked
02/12/2024 09:00,80474,60,1,Eastbound,1,East,2,Checked
