Sdate,Cosit,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flag Text
01/07/2024,80474,60,1,Eastbound,1,East,1,Checked
01/07/2024,80474,60,2,Westbound,2,West,0,Checked
01/07/2024,80474,60,1,Eastbound,1,East,0,Checked
01/07/2024,80474,60,2,Westbound,2,West,1,Checked
01/07/2024,80474,60,1,Eastbound,1,East,0,Checked
01/07/2024,80474,60,2,Westbound,2,West,0,Checked
01/07/2024,80474,60,1,Eastbound,1,East,0,Checked
01/07/2024,80474,60,2,Westbound,2,West,1,Checked
01/07/2024,80474,60,1,Eastbound,1,East,2,Checked
01/07/2024,80474,60,2,Westbound,2,West,0,Checked
01/07/2024,80474,60,1,Eastbound,1,East,5,Checked
01/07/2024,80474,60,2,Westbound,2,West,2,Checked
01/07/2024,80474,60,1,Eastbound,1,East,9,Checked
01/07/2024,80474,60,2,Westbound,2,West,0,Checked
01/07/2024,80474,60,1,Eastbound,1,East,9,Checked
01/07/2024,80474,60,2,Westbound,2,West,2,Checked
01/07/2024,80474,60,1,Eastbound,1,East,12,Checked
01/07/2024,80474,60,2,Westbound,2,West,3,Checked
01/07/2024,80474,60,1,Eastbound,1,East,3,Checked
01/07/2024,80474,60,2,Westbound,2,West,0,Checked
01/07/2024,80474,60,1,Eastbound,1,East,2,Checked
01/07/2024,80474,60,2,Westbound,2,West,1,Checked
01/07/2024,80474,60,1,Eastbound,1,East,0,Checked
01/07/2024,80474,60,2,Westbound,2,West,1,Checked
01/07/2024,80474,60,1,Eastbound,1,East,2,Checked
01/07/2024,80474,60,2,Westbound,2,West,0,Checked
01/07/2024,80474,60,1,Eastbound,1,East,0,Checked
01/07/2024,80474,60,2,Westbound,2,West,0,Checked
01/07/2024,80474,60,1,Eastbound,1,East,1,Checked
01/07/2024,80474,60,2,Westbound,2,West,1,Checked
01/07/2024,80474,60,1,Eastbound,1,East,2,Checked
01/07/2024,80474,60,2,Westbound,2,West,4,Checked
01/07/2024,80474,60,1,Eastbound,1,East,14,Checked
01/07/2024,80474,60,2,Westbound,2,West,6,Checked
01/07/2024,80474,60,1,Eastbound,1,East,10,Checked
01/07/2024,80474,60,2,Westbound,2,West,6,Checked
01/07/2024,80474,60,1,Eastbound,1,East,3,Checked
01/07/2024,80474,60,2,Westbound,2,West,0,Checked
01/07/2024,80474,60,1,Eastbound,1,East,1,Checked
01/07/2024,80474,60,2,Westbound,2,West,2,Checked
01/07/2024,80474,60,1,Eastbound,1,East,0,Checked
01/07/2024,80474,60,2,Westbound,2,West,2,Checked
01/07/2024,80474,60,1,Eastbound,1,East,2,Checked
01/07/2024,80474,60,2,Westbound,2,West,0,Checked
01/07/2024,80474,60,1,Eastbound,1,East,0,Checked
01/07/2024,80474,60,2,Westbound,2,West,0,Checked
01/07/2024,80474,60,1,Eastbound,1,East,1,Checked
01/07/2024,80474,60,2,Westbound,2,West,0,Checked
02/07/2024,80474,60,1,Eastbound,1,East,0,Checked
02/07/2024,80474,60,2,Westbound,2,West,1,Checked
02/07/2024,80474,60,1,Eastbound,1,East,0,Checked
02/07/2024,80474,60,2,Westbound,2,West,0,Checked
02/07/2024,80474,60,1,Eastbound,1,East,0,Checked
02/07/2024,80474,60,2,Westbound,2,West,0,Checked
02/07/2024,80474,60,1,Eastbound,1,East,0,Checked
02/07/2024,80474,60,2,Westbound,2,West,0,Checked
02/07/2024,80474,60,1,Eastbound,1,East,0,Checked
02/07/2024,80474,60,2,Westbound,2,West,0,Checked
02/07/2024,80474,60,1,Eastbound,1,East,0,Checked
02/07/2024,80474,60,2,Westbound,2,West,0,Checked
02/07/2024,80474,60,1,Eastbound,1,East,0,Checked
02/07/2024,80474,60,2,Westbound,2,West,0,Checked
02/07/2024,80474,60,1,Eastbound,1,East,0,Checked
02/07/2024,80474,60,2,Westbound,2,West,0,Checked
02/07/2024,80474,60,1,Eastbound,1,East,2,Checked
02/07/2024,80474,60,2,Westbound,2,West,0,Checked
02/07/2024,80474,60,1,Eastbound,1,East,0,Checked
02/07/2024,80474,60,2,Westbound,2,West,0,Checked
02/07/2024,80474,60,1,Eastbound,1,East,0,Checked
02/07/2024,80474,60,2,Westbound,2,West,0,Checked
02/07/2024,80474,60,1,Eastbound,1,East,0,Checked
02/07/2024,80474,60,2,Westbound,2,West,0,Checked
02/07/2024,80474,60,1,Eastbound,1,East,0,Checked
02/07/2024,80474,60,2,Westbound,2,West,0,Checked
02/07/2024,80474,60,1,Eastbound,1,East,0,Checked
02/07/2024,80474,60,2,Westbound,2,West,0,Checked
02/07/2024,80474,60,1,Eastbound,1,East,0,Checked
02/07/2024,80474,60,2,Westbound,2,West,0,Checked
02/07/2024,80474,60,1,Eastbound,1,East,0,Checked
02/07/2024,80474,60,2,Westbound,2,West,0,Checked
02/07/2024,80474,60,1,Eastbound,1,East,2,Checked
02/07/2024,80474,60,2,Westbound,2,West,2,Checked
02/07/2024,80474,60,1,Eastbound,1,East,23,Checked
02/07/2024,80474,60,2,Westbound,2,West,4,Checked
02/07/2024,80474,60,1,Eastbound,1,East,7,Checked
02/07/2024,80474,60,2,Westbound,2,West,4,Checked
02/07/2024,80474,60,1,Eastbound,1,East,7,Checked
02/07/2024,80474,60,2,Westbound,2,West,3,Checked
02/07/2024,80474,60,1,Eastbound,1,East,0,Checked
02/07/2024,80474,60,2,Westbound,2,West,2,Checked
02/07/2024,80474,60,1,Eastbound,1,East,1,Checked
02/07/2024,80474,60,2,Westbound,2,West,3,Checked
02/07/2024,80474,60,1,Eastbound,1,East,0,Checked
02/07/2024,80474,60,2,Westbound,2,West,2,Checked
02/07/2024,80474,60,1,Eastbound,1,East,0,Checked
02/07/2024,80474,60,2,Westbound,2,West,0,Checked
03/07/2024,80474,60,1,Eastbound,1,East,0,Checked
03/07/2024,80474,60,2,Westbound,2,West,0,Checked
03/07/2024,80474,60,1,Eastbound,1,East,1,Checked
03/07/2024,80474,60,2,Westbound,2,West,1,Checked
03/07/2024,80474,60,1,Eastbound,1,East,0,Checked
03/07/2024,80474,60,2,Westbound,2,West,0,Checked
03/07/2024,80474,60,1,Eastbound,1,East,0,Checked
03/07/2024,80474,60,2,Westbound,2,West,0,Checked
03/07/2024,80474,60,1,Eastbound,1,East,3,Checked
03/07/2024,80474,60,2,Westbound,2,West,0,Checked
03/07/2024,80474,60,1,Eastbound,1,East,6,Checked
03/07/2024,80474,60,2,Westbound,2,West,5,Checked
03/07/2024,80474,60,1,Eastbound,1,East,6,Checked
03/07/2024,80474,60,2,Westbound,2,West,1,Checked
03/07/2024,80474,60,1,Eastbound,1,East,5,Checked
03/07/2024,80474,60,2,Westbound,2,West,5,Checked
03/07/2024,80474,60,1,Eastbound,1,East,18,Checked
03/07/2024,80474,60,2,Westbound,2,West,4,Checked
03/07/2024,80474,60,1,Eastbound,1,East,2,Checked
03/07/2024,80474,60,2,Westbound,2,West,1,Checked
03/07/2024,80474,60,1,Eastbound,1,East,4,Checked
03/07/2024,80474,60,2,Westbound,2,West,1,Checked
03/07/2024,80474,60,1,Eastbound,1,East,1,Checked
03/07/2024,80474,60,2,Westbound,2,West,2,Checked
03/07/2024,80474,60,1,Eastbound,1,East,0,Checked
03/07/2024,80474,60,2,Westbound,2,West,0,Checked
03/07/2024,80474,60,1,Eastbound,1,East,0,Checked
03/07/2024,80474,60,2,Westbound,2,West,1,Checked
03/07/2024,80474,60,1,Eastbound,1,East,4,Checked
03/07/2024,80474,60,2,Westbound,2,West,1,Checked
03/07/2024,80474,60,1,Eastbound,1,East,8,Checked
03/07/2024,80474,60,2,Westbound,2,West,6,Checked
03/07/2024,80474,60,1,Eastbound,1,East,4,Checked
03/07/2024,80474,60,2,Westbound,2,West,2,Checked
03/07/2024,80474,60,1,Eastbound,1,East,15,Checked
03/07/2024,80474,60,2,Westbound,2,West,5,Checked
03/07/2024,80474,60,1,Eastbound,1,East,6,Checked
03/07/2024,80474,60,2,Westbound,2,West,3,Checked
03/07/2024,80474,60,1,Eastbound,1,East,3,Checked
03/07/2024,80474,60,2,Westbound,2,West,2,Checked
03/07/2024,80474,60,1,Eastbound,1,East,5,Checked
03/07/2024,80474,60,2,Westbound,2,West,2,Checked
03/07/2024,80474,60,1,Eastbound,1,East,0,Checked
03/07/2024,80474,60,2,Westbound,2,West,2,Checked
03/07/2024,80474,60,1,Eastbound,1,East,1,Checked
03/07/2024,80474,60,2,Westbound,2,West,0,Checked
03/07/2024,80474,60,1,Eastbound,1,East,0,Checked
03/07/2024,80474,60,2,Westbound,2,West,0,Checked
04/07/2024,80474,60,1,Eastbound,1,East,1,Checked
04/07/2024,80474,60,2,Westbound,2,West,2,Checked
04/07/2024,80474,60,1,Eastbound,1,East,0,Checked
04/07/2024,80474,60,2,Westbound,2,West,0,Checked
04/07/2024,80474,60,1,Eastbound,1,East,0,Checked
04/07/2024,80474,60,2,Westbound,2,West,0,Checked
04/07/2024,80474,60,1,Eastbound,1,East,0,Checked
04/07/2024,80474,60,2,Westbound,2,West,0,Checked
04/07/2024,80474,60,1,Eastbound,1,East,1,Checked
04/07/2024,80474,60,2,Westbound,2,West,0,Checked
04/07/2024,80474,60,1,Eastbound,1,East,3,Checked
04/07/2024,80474,60,2,Westbound,2,West,5,Checked
04/07/2024,80474,60,1,Eastbound,1,East,0,Checked
04/07/2024,80474,60,2,Westbound,2,West,0,Checked
04/07/2024,80474,60,1,Eastbound,1,East,0,Checked
04/07/2024,80474,60,2,Westbound,2,West,0,Checked
04/07/2024,80474,60,1,Eastbound,1,East,12,Checked
04/07/2024,80474,60,2,Westbound,2,West,3,Checked
04/07/2024,80474,60,1,Eastbound,1,East,5,Checked
04/07/2024,80474,60,2,Westbound,2,West,0,Checked
04/07/2024,80474,60,1,Eastbound,1,East,4,Checked
04/07/2024,80474,60,2,Westbound,2,West,1,Checked
04/07/2024,80474,60,1,Eastbound,1,East,0,Checked
04/07/2024,80474,60,2,Westbound,2,West,0,Checked
04/07/2024,80474,60,1,Eastbound,1,East,1,Checked
04/07/2024,80474,60,2,Westbound,2,West,0,Checked
04/07/2024,80474,60,1,Eastbound,1,East,2,Checked
04/07/2024,80474,60,2,Westbound,2,West,1,Checked
04/07/2024,80474,60,1,Eastbound,1,East,4,Checked
04/07/2024,80474,60,2,Westbound,2,West,1,Checked
04/07/2024,80474,60,1,Eastbound,1,East,0,Checked
04/07/2024,80474,60,2,Westbound,2,West,0,Checked
04/07/2024,80474,60,1,Eastbound,1,East,8,Checked
04/07/2024,80474,60,2,Westbound,2,West,3,Checked
04/07/2024,80474,60,1,Eastbound,1,East,11,Checked
04/07/2024,80474,60,2,Westbound,2,West,5,Checked
04/07/2024,80474,60,1,Eastbound,1,East,7,Checked
04/07/2024,80474,60,2,Westbound,2,West,2,Checked
04/07/2024,80474,60,1,Eastbound,1,East,4,Checked
04/07/2024,80474,60,2,Westbound,2,West,2,Checked
04/07/2024,80474,60,1,Eastbound,1,East,1,Checked
04/07/2024,80474,60,2,Westbound,2,West,0,Checked
04/07/2024,80474,60,1,Eastbound,1,East,3,Checked
04/07/2024,80474,60,2,Westbound,2,West,0,Checked
04/07/2024,80474,60,1,Eastbound,1,East,0,Checked
04/07/2024,80474,60,2,Westbound,2,West,2,Checked
04/07/2024,80474,60,1,Eastbound,1,East,0,Checked
04/07/2024,80474,60,2,Westbound,2,West,3,Checked
05/07/2024,80474,60,1,Eastbound,1,East,0,Checked
05/07/2024,80474,60,2,Westbound,2,West,0,Checked
05/07/2024,80474,60,1,Eastbound,1,East,2,Checked
05/07/2024,80474,60,2,Westbound,2,West,1,Checked
05/07/2024,80474,60,1,Eastbound,1,East,1,Checked
05/07/2024,80474,60,2,Westbound,2,West,1,Checked
05/07/2024,80474,60,1,Eastbound,1,East,0,Checked
05/07/2024,80474,60,2,Westbound,2,West,1,Checked
05/07/2024,80474,60,1,Eastbound,1,East,1,Checked
05/07/2024,80474,60,2,Westbound,2,West,0,Checked
05/07/2024,80474,60,1,Eastbound,1,East,5,Checked
05/07/2024,80474,60,2,Westbound,2,West,5,Checked
05/07/2024,80474,60,1,Eastbound,1,East,4,Checked
05/07/2024,80474,60,2,Westbound,2,West,0,Checked
